date,state,unemployment_rate,percent_error
2022-04-01,Virginia,4.560397421926936,0.1
2022-04-01,Washington,5.140619434629321,0.1
2022-04-01,West Virginia,6.3245556596627654,0.2
2022-04-01,Wisconsin,3.451762561154826,0.1
2022-04-01,Wyoming,4.096630646877812,0.3
2022-05-01,Alabama,5.316548868487834,0.2
2022-05-01,Alaska,6.699102658300274,0.3
2022-05-01,Arizona,5.494526715133121,0.1
2022-05-01,Arkansas,5.265707066716871,0.2
2022-05-01,California,6.539943180772826,0.1
2022-05-01,Colorado,4.53294016027931,0.1
2022-05-01,Connecticut,6.07295396820159,0.2
2022-05-01,Delaware,5.559876806014799,0.3
2022-05-01,District of Columbia,7.064797345458416,0.4
2022-05-01,Florida,5.211578183978447,0.1
2022-05-01,Georgia,5.401955256059167,0.1
2022-05-01,Hawaii,5.310627080920347,0.2
2022-05-01,Idaho,3.9019432217227155,0.2
2022-05-01,Illinois,6.184539145353347,0.1
2022-05-01,Indiana,4.652912315412657,0.1
2022-05-01,Iowa,3.849056020657163,0.1
2022-05-01,Kansas,4.070862033695979,0.1
2022-05-01,Kentucky,5.239033297484268,0.1
2022-05-01,Louisiana,6.790146277984218,0.2
2022-05-01,Maine,4.213567180416059,0.2
2022-05-01,Maryland,5.259996016825858,0.1
2022-05-01,Massachusetts,5.413444089806317,0.1
2022-05-01,Michigan,6.1879963284794774,0.1
2022-05-01,Minnesota,4.027108894314947,0.1
2022-05-01,Mississippi,6.65351258167694,0.2
2022-05-01,Missouri,4.4560469378462635,0.1
2022-05-01,Montana,4.000732694958188,0.2
2022-05-01,Nebraska,3.2107237327048224,0.1
2022-05-01,Nevada,7.159165172228998,0.2
2022-05-01,New Hampshire,3.7227738447807,0.2
2022-05-01,New Jersey,6.266672803222139,0.1
2022-05-01,New Mexico,6.509841791449987,0.3
2022-05-01,New York,6.309678539684366,0.1
2022-05-01,North Carolina,5.233924664294025,0.1
2022-05-01,North Dakota,3.125818632295011,0.2
2022-05-01,Ohio,5.222397635041776,0.1
2022-05-01,Oklahoma,4.945632747843488,0.1
2022-05-01,Oregon,5.5951066466196036,0.2
2022-05-01,Pennsylvania,5.4836814748309815,0.1
